# Title : Global Land and Ocean Average Temperature Departures
# Unit  : Degrees Celsius                              
# Base period: 1901-2000                              
Year;Month;Anom
  1958;      1; 0.36                                           
  1958;      2; 0.2                                            
  1958;      3; 0.15                                           
  1958;      4; 0.07                                           
  1958;      5; 0.09                                           
  1958;      6; 0.01                                           
  1958;      7; 0.09                                           
  1958;      8; 0.01                                           
  1958;      9; -0.04                                          
  1958;     10; 0.03                                           
  1958;     11; 0.00
  1958;     12; 0.11                                           
  1959;      1; 0.12                                           
  1959;      2; 0.11                                           
  1959;      3; 0.22                                           
  1959;      4; 0.16                                           
  1959;      5; 0.1                                            
  1959;      6; 0.09                                           
  1959;      7; 0.05                                           
  1959;      8; 0.05                                           
  1959;      9; 0.02                                           
  1959;     10; 0.01                                           
  1959;     11; -0.03                                          
  1959;     12; 0.06                                           
  1960;      1; 0.02                                           
  1960;      2; 0.16                                           
  1960;      3; -0.23                                          
  1960;      4; -0.11                                          
  1960;      5; -0.09                                          
  1960;      6; -0.03                                          
  1960;      7; 0.02                                           
  1960;      8; 0.01                                           
  1960;      9; 0.05                                           
  1960;     10; 0.03                                           
  1960;     11; -0.12                                          
  1960;     12; 0.21                                           
  1961;      1; 0.1                                            
  1961;      2; 0.17                                           
  1961;      3; 0.11                                           
  1961;      4; 0.15                                           
  1961;      5; 0.15                                           
  1961;      6; 0.14                                           
  1961;      7; 0.06                                           
  1961;      8; 0.06                                           
  1961;      9; 0.05                                           
  1961;     10; 0.01                                           
  1961;     11; 0.05                                           
  1961;     12; -0.11                                          
  1962;      1; 0.07                                           
  1962;      2; 0.17                                           
  1962;      3; 0.16                                           
  1962;      4; 0.08                                           
  1962;      5; -0.06                                          
  1962;      6;  0                   
  1962;      7;  0                   
  1962;      8; -0.03                                          
  1962;      9; -0.03                                          
  1962;     10; 0.03                                           
  1962;     11; 0.12                                           
  1962;     12; 0.02                                           
  1963;      1; -0.01                                          
  1963;      2; 0.19                                           
  1963;      3; -0.11                                          
  1963;      4; -0.03                                          
  1963;      5; -0.01                                          
  1963;      6; 0.01                                           
  1963;      7; 0.06                                           
  1963;      8; 0.16                                           
  1963;      9; 0.16                                           
  1963;     10; 0.14                                           
  1963;     11; 0.1                                            
  1963;     12; 0.06                                           
  1964;      1; -0.06                                          
  1964;      2; -0.08                                          
  1964;      3; -0.2                                           
  1964;      4; -0.26                                          
  1964;      5; -0.2                                           
  1964;      6; -0.05                                          
  1964;      7; -0.09                                          
  1964;      8; -0.17                                          
  1964;      9; -0.28                                          
  1964;     10; -0.25                                          
  1964;     11; -0.25                                          
  1964;     12; -0.25                                          
  1965;      1; -0.08                                          
  1965;      2; -0.16                                          
  1965;      3; -0.13                                          
  1965;      4; -0.17                                          
  1965;      5; -0.09                                          
  1965;      6; -0.09                                          
  1965;      7; -0.11                                          
  1965;      8; -0.05                                          
  1965;      9; -0.09                                          
  1965;     10; 0.01                                           
  1965;     11; 0.01                                           
  1965;     12; -0.02                                          
  1966;      1; -0.15                                          
  1966;      2; -0.03                                          
  1966;      3; -0.02                                          
  1966;      4; -0.07                                          
  1966;      5; -0.06                                          
  1966;      6; 0.03                                           
  1966;      7; 0.11                                           
  1966;      8; -0.02                                          
  1966;      9;  0.00
  1966;     10; -0.15                                          
  1966;     11; -0.03                                          
  1966;     12; -0.03                                          
  1967;      1; -0.12                                          
  1967;      2; -0.2                                           
  1967;      3; 0.06                                           
  1967;      4; -0.01                                          
  1967;      5; 0.19                                           
  1967;      6; -0.03                                          
  1967;      7; -0.01                                          
  1967;      8; -0.01                                          
  1967;      9; 0.01                                           
  1967;     10; 0.11                                           
  1967;     11; -0.04                                          
  1967;     12; 0.01                                           
  1968;      1; -0.18                                          
  1968;      2; -0.14                                          
  1968;      3; 0.17                                           
  1968;      4; -0.04                                          
  1968;      5; -0.07                                          
  1968;      6;  0.00
  1968;      7; -0.07                                          
  1968;      8;  0.00
  1968;      9; -0.09                                          
  1968;     10; 0.06                                           
  1968;     11; -0.11                                          
  1968;     12; -0.1                                           
  1969;      1; -0.08                                          
  1969;      2; -0.07                                          
  1969;      3; 0.05                                           
  1969;      4; 0.17                                           
  1969;      5; 0.21                                           
  1969;      6; 0.1                                            
  1969;      7; 0.01                                           
  1969;      8; 0.05                                           
  1969;      9; 0.1                                            
  1969;     10; 0.13                                           
  1969;     11; 0.15                                           
  1969;     12; 0.29                                           
  1970;      1; 0.16                                           
  1970;      2; 0.19                                           
  1970;      3; 0.09                                           
  1970;      4; 0.1                                            
  1970;      5; 0.02                                           
  1970;      6; 0.00
  1970;      7; 0.04                                           
  1970;      8; -0.07                                          
  1970;      9; 0.06                                           
  1970;     10; -0.04                                          
  1970;     11; 0.02                                           
  1970;     12; -0.12                                          
  1971;      1; -0.07                                          
  1971;      2; -0.16                                          
  1971;      3; -0.12                                          
  1971;      4; -0.08                                          
  1971;      5; -0.05                                          
  1971;      6; -0.13                                          
  1971;      7; -0.04                                          
  1971;      8; -0.05                                          
  1971;      9; 0.03                                           
  1971;     10; -0.12                                          
  1971;     11; -0.1                                           
  1971;     12; -0.08                                          
  1972;      1; -0.16                                          
  1972;      2; -0.14                                          
  1972;      3; 0.08                                           
  1972;      4; 0.03                                           
  1972;      5; 0.02                                           
  1972;      6; 0.12                                           
  1972;      7; 0.08                                           
  1972;      8; 0.21                                           
  1972;      9; 0.09                                           
  1972;     10; 0.1                                            
  1972;     11; 0.03                                           
  1972;     12; 0.23                                           
  1973;      1; 0.29                                           
  1973;      2; 0.31                                           
  1973;      3; 0.27                                           
  1973;      4; 0.31                                           
  1973;      5; 0.23                                           
  1973;      6; 0.26                                           
  1973;      7; 0.13                                           
  1973;      8; 0.08                                           
  1973;      9; 0.08                                           
  1973;     10; 0.07                                           
  1973;     11; 0.03                                           
  1973;     12; 0.00                   
  1974;      1; -0.08                                          
  1974;      2; -0.25                                          
  1974;      3; -0.06                                          
  1974;      4; -0.05                                          
  1974;      5; 0.02                                           
  1974;      6; 0.01                                           
  1974;      7; 0.02                                           
  1974;      8; 0.11                                           
  1974;      9; -0.04                                          
  1974;     10; -0.04                                          
  1974;     11; -0.09                                          
  1974;     12; -0.11                                          
  1975;      1; 0.03                                           
  1975;      2; 0.09                                           
  1975;      3; 0.14                                           
  1975;      4; 0.07                                           
  1975;      5; 0.12                                           
  1975;      6; 0.06                                           
  1975;      7; 0.01                                           
  1975;      8; -0.12                                          
  1975;      9; 0.01                                           
  1975;     10; -0.15                                          
  1975;     11; -0.17                                          
  1975;     12; -0.12                                          
  1976;      1; -0.03                                          
  1976;      2; -0.07                                          
  1976;      3; -0.17                                          
  1976;      4; -0.02                                          
  1976;      5; -0.17                                          
  1976;      6; -0.05                                          
  1976;      7; 0.02                                           
  1976;      8; -0.05                                          
  1976;      9; 0.01                                           
  1976;     10; -0.23                                          
  1976;     11; -0.08                                          
  1976;     12; 0.13                                           
  1977;      1; 0.21                                           
  1977;      2; 0.18                                           
  1977;      3; 0.21                                           
  1977;      4; 0.24                                           
  1977;      5; 0.28                                           
  1977;      6; 0.29                                           
  1977;      7; 0.24                                           
  1977;      8; 0.22                                           
  1977;      9; 0.12                                           
  1977;     10; 0.09                                           
  1977;     11; 0.21                                           
  1977;     12; 0.1                                            
  1978;      1; 0.12                                           
  1978;      2; 0.16                                           
  1978;      3; 0.22                                           
  1978;      4; 0.14                                           
  1978;      5; 0.11                                           
  1978;      6; 0.05                                           
  1978;      7; 0.12                                           
  1978;      8; -0.06                                          
  1978;      9; 0.15                                           
  1978;     10; 0.06                                           
  1978;     11; 0.19                                           
  1978;     12; 0.13                                           
  1979;      1; 0.17                                           
  1979;      2; -0.04                                          
  1979;      3; 0.17                                           
  1979;      4; 0.07                                           
  1979;      5; 0.12                                           
  1979;      6; 0.18                                           
  1979;      7; 0.1                                            
  1979;      8; 0.19                                           
  1979;      9; 0.27                                           
  1979;     10; 0.26                                           
  1979;     11; 0.28                                           
  1979;     12; 0.5                                            
  1980;      1; 0.34                                           
  1980;      2; 0.43                                           
  1980;      3; 0.33                                           
  1980;      4; 0.31                                           
  1980;      5; 0.37                                           
  1980;      6; 0.25                                           
  1980;      7; 0.28                                           
  1980;      8; 0.25                                           
  1980;      9; 0.22                                           
  1980;     10; 0.18                                           
  1980;     11; 0.26                                           
  1980;     12; 0.24                                           
  1981;      1; 0.52                                           
  1981;      2; 0.41                                           
  1981;      3; 0.46                                           
  1981;      4; 0.32                                           
  1981;      5; 0.27                                           
  1981;      6; 0.29                                           
  1981;      7; 0.27                                           
  1981;      8; 0.33                                           
  1981;      9; 0.2                                            
  1981;     10; 0.22                                           
  1981;     11; 0.25                                           
  1981;     12; 0.44                                           
  1982;      1; 0.09                                           
  1982;      2; 0.17                                           
  1982;      3; 0.04                                           
  1982;      4; 0.14                                           
  1982;      5; 0.18                                           
  1982;      6; 0.09                                           
  1982;      7; 0.2                                            
  1982;      8; 0.09                                           
  1982;      9; 0.16                                           
  1982;     10; 0.15                                           
  1982;     11; 0.13                                           
  1982;     12; 0.43                                           
  1983;      1; 0.47                                           
  1983;      2; 0.45                                           
  1983;      3; 0.4                                            
  1983;      4; 0.25                                           
  1983;      5; 0.35                                           
  1983;      6; 0.26                                           
  1983;      7; 0.19                                           
  1983;      8; 0.34                                           
  1983;      9; 0.38                                           
  1983;     10; 0.21                                           
  1983;     11; 0.33                                           
  1983;     12; 0.23                                           
  1984;      1; 0.28                                           
  1984;      2; 0.18                                           
  1984;      3; 0.27                                           
  1984;      4; 0.12                                           
  1984;      5; 0.34                                           
  1984;      6; 0.1                                            
  1984;      7; 0.16                                           
  1984;      8; 0.19                                           
  1984;      9; 0.22                                           
  1984;     10; 0.14                                           
  1984;     11; 0.05                                           
  1984;     12; 0.01                                           
  1985;      1; 0.27                                           
  1985;      2; 0.04                                           
  1985;      3; 0.21                                           
  1985;      4; 0.12                                           
  1985;      5; 0.19                                           
  1985;      6; 0.18                                           
  1985;      7; 0.03                                           
  1985;      8; 0.17                                           
  1985;      9; 0.16                                           
  1985;     10; 0.13                                           
  1985;     11; 0.08                                           
  1985;     12; 0.18                                           
  1986;      1; 0.25                                           
  1986;      2; 0.4                                            
  1986;      3; 0.32                                           
  1986;      4; 0.25                                           
  1986;      5; 0.26                                           
  1986;      6; 0.18                                           
  1986;      7; 0.17                                           
  1986;      8; 0.19                                           
  1986;      9; 0.13                                           
  1986;     10; 0.16                                           
  1986;     11; 0.14                                           
  1986;     12; 0.19                                           
  1987;      1; 0.33                                           
  1987;      2; 0.38                                           
  1987;      3; 0.21                                           
  1987;      4; 0.27                                           
  1987;      5; 0.3                                            
  1987;      6; 0.34                                           
  1987;      7; 0.45                                           
  1987;      8; 0.29                                           
  1987;      9; 0.38                                           
  1987;     10; 0.32                                           
  1987;     11; 0.24                                           
  1987;     12; 0.43                                           
  1988;      1; 0.51                                           
  1988;      2; 0.45                                           
  1988;      3; 0.5                                            
  1988;      4; 0.42                                           
  1988;      5; 0.44                                           
  1988;      6; 0.42                                           
  1988;      7; 0.34                                           
  1988;      8; 0.39                                           
  1988;      9; 0.36                                           
  1988;     10; 0.33                                           
  1988;     11; 0.14                                           
  1988;     12; 0.28                                           
  1989;      1; 0.09                                           
  1989;      2; 0.31                                           
  1989;      3; 0.31                                           
  1989;      4; 0.26                                           
  1989;      5; 0.18                                           
  1989;      6; 0.19                                           
  1989;      7; 0.28                                           
  1989;      8; 0.3                                            
  1989;      9; 0.36                                           
  1989;     10; 0.3                                            
  1989;     11; 0.15                                           
  1989;     12; 0.4                                            
  1990;      1; 0.37                                           
  1990;      2; 0.38                                           
  1990;      3; 0.7                                            
  1990;      4; 0.56                                           
  1990;      5; 0.48                                           
  1990;      6; 0.36                                           
  1990;      7; 0.39                                           
  1990;      8; 0.33                                           
  1990;      9; 0.31                                           
  1990;     10; 0.39                                           
  1990;     11; 0.38                                           
  1990;     12; 0.4                                            
  1991;      1; 0.4                                            
  1991;      2; 0.48                                           
  1991;      3; 0.36                                           
  1991;      4; 0.51                                           
  1991;      5; 0.42                                           
  1991;      6; 0.53                                           
  1991;      7; 0.47                                           
  1991;      8; 0.4                                            
  1991;      9; 0.42                                           
  1991;     10; 0.32                                           
  1991;     11; 0.28                                           
  1991;     12; 0.28                                           
  1992;      1; 0.45                                           
  1992;      2; 0.43                                           
  1992;      3; 0.47                                           
  1992;      4; 0.27                                           
  1992;      5; 0.32                                           
  1992;      6; 0.27                                           
  1992;      7; 0.12                                           
  1992;      8; 0.12                                           
  1992;      9; 0.03                                           
  1992;     10; 0.07                                           
  1992;     11; 0.06                                           
  1992;     12; 0.19                                           
  1993;      1; 0.34                                           
  1993;      2; 0.39                                           
  1993;      3; 0.36                                           
  1993;      4; 0.29                                           
  1993;      5; 0.28                                           
  1993;      6; 0.28                                           
  1993;      7; 0.23                                           
  1993;      8; 0.19                                           
  1993;      9; 0.18                                           
  1993;     10; 0.25                                           
  1993;     11; 0.09                                           
  1993;     12; 0.22                                           
  1994;      1; 0.25                                           
  1994;      2; 0.05                                           
  1994;      3; 0.31                                           
  1994;      4; 0.37                                           
  1994;      5; 0.34                                           
  1994;      6; 0.39                                           
  1994;      7; 0.3                                            
  1994;      8; 0.26                                           
  1994;      9; 0.35                                           
  1994;     10; 0.42                                           
  1994;     11; 0.41                                           
  1994;     12; 0.35                                           
  1995;      1; 0.5                                            
  1995;      2; 0.73                                           
  1995;      3; 0.48                                           
  1995;      4; 0.47                                           
  1995;      5; 0.33                                           
  1995;      6; 0.46                                           
  1995;      7; 0.5                                            
  1995;      8; 0.5                                            
  1995;      9; 0.39                                           
  1995;     10; 0.42                                           
  1995;     11; 0.43                                           
  1995;     12; 0.29                                           
  1996;      1; 0.27                                           
  1996;      2; 0.48                                           
  1996;      3; 0.38                                           
  1996;      4; 0.33                                           
  1996;      5; 0.34                                           
  1996;      6; 0.28                                           
  1996;      7; 0.38                                           
  1996;      8; 0.43                                           
  1996;      9; 0.28                                           
  1996;     10; 0.21                                           
  1996;     11; 0.39                                           
  1996;     12; 0.36                                           
  1997;      1; 0.26                                           
  1997;      2; 0.35                                           
  1997;      3; 0.51                                           
  1997;      4; 0.39                                           
  1997;      5; 0.39                                           
