# ATMOSPHERIC RADIOCARBON FOR THE PERIOD 1950–2019
# Quan Hua et al. Cambridge University Press, 2021
# Global Δ14C (‰) for boreal summers (May-Aug), delta in realtion to pre-industrial values
year,dc14
1950,-25
1951,-26
1952,-26
1953,-24
1954,-21
1955,-3
1956,15
1957,50
1958,105
1959,188
1960,200
1961,212
1962,278
1963,514
1964,662
1965,693
1966,651
1967,609
1968,564
1969,538
1970,514
1971,500
1972,469
1973,440
1974,410
1975,385
1976,354
1977,334
1978,320
1979,293
1980,275
1981,259
1982,243
1983,227
1984,213
1985,204
1986,192
1987,182
1988,172
1989,163
1990,150
1991,141
1992,137
1993,129
1994,120
1995,115
1996,109
1997,104
1998,100
1999,94
2000,87
2001,82
2002,78
2003,73
2004,67
2005,63
2006,59
2007,54
2008,50
2009,48
2010,45
2011,38
2012,33
2013,28
2014,22
2015,18
2016,16
2017,12
2018,8
2019,4
