# Turnbull et al,  BHDCGO smooth curve fit		
# year	month	dc14
1954	12	-17.9
1955	1	-8.6
1955	2	-6.0
1955	3	-8.1
1955	4	-9.2
1955	5	-6.4
1955	6	-2.1
1955	7	-1.6
1955	8	-6.7
1955	9	-13.5
1955	10	-15.4
1955	11	-9.7
1955	12	-0.3
1956	1	6.3
1956	2	7.7
1956	3	8.0
1956	4	13.0
1956	5	23.5
1956	6	33.5
1956	7	35.6
1956	8	28.3
1956	9	17.3
1956	10	10.7
1956	11	12.7
1956	12	20.3
1957	1	27.2
1957	2	29.2
1957	3	27.3
1957	4	26.2
1957	5	29.5
1957	6	36.4
1957	7	42.8
1957	8	45.6
1957	9	46.1
1957	10	48.8
1957	11	56.4
1957	12	66.4
1958	1	73.6
1958	2	74.7
1958	3	72.0
1958	4	70.5
1958	5	73.0
1958	6	77.9
1958	7	82.2
1958	8	85.1
1958	9	88.8
1958	10	96.2
1958	11	106.9
1958	12	117.6
1959	1	124.5
1959	2	126.7
1959	3	127.1
1959	4	129.2
1959	5	134.7
1959	6	141.8
1959	7	147.6
1959	8	151.0
1959	9	154.3
1959	10	160.5
1959	11	170.2
1959	12	180.4
1960	1	186.5
1960	2	187.1
1960	3	184.5
1960	4	183.3
1960	5	185.7
1960	6	190.4
1960	7	193.9
1960	8	194.0
1960	9	191.9
1960	10	190.9
1960	11	193.3
1960	12	198.0
1961	1	201.7
1961	2	202.4
1961	3	200.9
1961	4	199.6
1961	5	199.5
1961	6	199.1
1961	7	197.1
1961	8	195.1
1961	9	197.1
1961	10	204.9
1961	11	215.0
1961	12	221.0
1962	1	218.9
1962	2	210.4
1962	3	201.3
1962	4	197.6
1962	5	200.9
1962	6	208.8
1962	7	217.1
1962	8	224.1
1962	9	230.8
1962	10	239.8
1962	11	251.2
1962	12	261.9
1963	1	268.3
1963	2	270.3
1963	3	272.9
1963	4	282.1
1963	5	300.5
1963	6	324.6
1963	7	347.5
1963	8	363.7
1963	9	373.9
1963	10	383.9
1963	11	399.7
1963	12	422.1
1964	1	445.6
1964	2	464.4
1964	3	478.5
1964	4	493.2
1964	5	511.9
1964	6	530.4
1964	7	541.3
1964	8	543.5
1964	9	547.2
1964	10	565.7
1964	11	600.5
1964	12	637.3
1965	1	657.1
1965	2	653.5
1965	3	638.7
1965	4	630.6
1965	5	636.4
1965	6	648.1
1965	7	652.1
1965	8	643.4
1965	9	629.5
1965	10	621.9
1965	11	625.5
1965	12	635.9
1966	1	644.4
1966	2	645.4
1966	3	639.2
1966	4	629.5
1966	5	619.9
1966	6	612.6
1966	7	608.4
1966	8	607.9
1966	9	611.1
1966	10	616.1
1966	11	620.1
1966	12	620.4
1967	1	616.9
1967	2	611.3
1967	3	605.7
1967	4	600.1
1967	5	593.5
1967	6	585.4
1967	7	577.4
1967	8	572.5
1967	9	572.7
1967	10	577.4
1967	11	582.9
1967	12	585.0
1968	1	581.9
1968	2	574.6
1968	3	566.3
1968	4	559.7
1968	5	555.2
1968	6	550.8
1968	7	545.5
1968	8	539.9
1968	9	536.1
1968	10	535.2
1968	11	536.8
1968	12	539.5
1969	1	542.4
1969	2	544.1
1969	3	543.2
1969	4	539.0
1969	5	533.3
1969	6	529.5
1969	7	529.4
1969	8	531.5
1969	9	531.4
1969	10	526.8
1969	11	520.1
1969	12	516.1
1970	1	517.4
1970	2	522.1
1970	3	525.3
1970	4	523.6
1970	5	517.6
1970	6	510.5
1970	7	505.3
1970	8	502.4
1970	9	500.8
